
 Lista de Imóveis da Caixa;;Data de geração:;14/08/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8555507642727 ;MG ;AGUAS FORMOSAS ;GAMELEIRA ;RUA DO CORREDOR, N. SN,  LT 325 QD 062 ;25.560,07;44.000,00;41.91;Não;Casa, 37.21 de área total, 37.21 de área privativa, 74.97 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507642727
 8444403570957 ;MG ;AIMORES ;BETEL ;RUA CANAA, N. 189, LT 53 QD L ;54.612,07;176.000,00;68.98;Não;Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403570957
 8555510461029 ;MG ;ALEM PARAIBA ;PORTO NOVO ; RUA ANTONIO FERNANDES TIMBIRA, N. 230, ;70.000,00;70.000,00;0.00;Não;Casa, 54.82 de área total, 54.82 de área privativa, 48.88 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510461029
 10290991 ;MG ;ALFENAS ;JARDIM AEROPORTO ;RUA JOAQUIM BORGES, N. 308, QD V,LTS 9 E 10 UNIF ;1.274.628,60;2.000.000,00;36.27;Sim;Casa, 0.00 de área total, 490.31 de área privativa, 600.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10290991
 1555539999061 ;MG ;ALMENARA ;CENTRO ; R CANDIDO MARES, N. 601, Apto 1, CS 601 ;158.145,21;370.000,00;57.26;Sim;Apartamento, 0.00 de área total, 310.44 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539999061
 10300070 ;MG ;ALMENARA ;PARQUE SAO JOAO ;RUA LINDAURA GUIMARÃES, N. 00, QD 34, LT 14 ;75.000,00;75.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 237.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300070
 10307846 ;MG ;ALMENARA ;CENTRO ;RUA ALEIXO PARAGUASSU, N. 624 ;730.000,00;730.000,00;0.00;Não;Casa, 0.00 de área total, 257.86 de área privativa, 385.16 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10307846
 10304793 ;MG ;ALPERCATA ;CENTRO ;Rua D, N. s/n, Qd 2, Lt 7 - MORADAS DO ACAMPAMENTO ;192.736,03;170.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 238.40 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10304793
 8444420351427 ;MG ;ALTEROSA ;ALTEROSA ; RUA DOMINGOS BATISTA, N. 119, ;65.921,81;115.000,00;42.68;Não;Casa, 42.00 de área total, 42.00 de área privativa, 261.12 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420351427
 1444409305556 ;MG ;ALTO RIO DOCE ;centro ;RUA MICAELA, N. 338, ;433.250,80;400.981,52;0.00;Não;Casa, 0.00 de área total, 108.50 de área privativa, 685.92 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409305556
 1444422148663 ;MG ;ANTONIO CARLOS ;VALE DO IPÊ ; AVENIDA OESTE DE MINAS, N. SN, LT 05, QD 09 ;117.072,73;186.000,00;37.06;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 5250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422148663
 1444422178414 ;MG ;ANTONIO PRADO DE MINAS ;CENTRO ;RUA JOÃO BATISTA PIERMATEI, N. 26, Apto 101, ;300.812,35;472.000,00;36.27;Sim;Apartamento, 230.53 de área total, 166.75 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422178414
 10224694 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA NOVE, N. S/N, QD 15, LT 05 ;289.659,34;505.000,00;42.65;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 2275.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10224694
 8444424796253 ;MG ;ARAGUARI ;NOVO HORIZONTE ; RUA ELVIRA CASCÃO, N. SN, QD 19 LT 05 ;89.575,84;153.000,00;41.46;Não;Casa, 52.07 de área total, 52.07 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424796253
 1444419785682 ;MG ;ARAGUARI ;PARQUE DOS VERDES ;RUA JOSE LIMIRIO DE ABADIO (ANTIGA RUA 17), N. 0, LT B4 QD 60 ;60.836,46;102.000,00;40.36;Não;Casa, 47.51 de área total, 47.51 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419785682
 10221025 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA QUATRO, N. 00, QD 17, LT 04 ;114.208,85;191.000,00;40.21;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1406.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221025
 8444411626451 ;MG ;ARAGUARI ;RES PQ DOS VERDES ; RUA 7, N. 155, LT 14 QD 11 ;200.000,00;200.000,00;0.00;Não;Casa, 93.25 de área total, 48.25 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411626451
 10305201 ;MG ;ARAGUARI ;IDELMINO ;P SAO VICENTE, N. 04 / 10, LT 01, PREDIO 04 E AP 201 ;1.530.000,00;1.530.000,00;0.00;Não;Loja, 0.00 de área total, 446.53 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10305201
 8444428805370 ;MG ;ARAGUARI ;BAIRRO VILA GOIAS ;RUA MANUEL CABRAL GOMIDE, N. 448, LOTE S6 QUADRA 119 ;205.253,95;195.000,00;0.00;Não;Casa, 58.12 de área total, 58.12 de área privativa, 203.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428805370
 1444416225244 ;MG ;ARAXA ;JARDIM EUROPA IV ;RUA CARLOS LUCIO DE AVILA, N. 60-A, QD 06, LT25, CASA A ;310.000,00;310.000,00;0.00;Não;Casa, 79.27 de área total, 79.27 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416225244
 8444414147570 ;MG ;AREADO ;ROSÁRIO ;R BAHIA, N. 691, ;52.843,66;100.000,00;47.16;Não;Casa, 0.00 de área total, 48.45 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414147570
 8444421615509 ;MG ;AREADO ;ROSÁRIO ; RUA BAHIA, N. 429, ;50.729,91;96.000,00;47.16;Não;Casa, 68.55 de área total, 68.55 de área privativa, 118.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421615509
 8444425807720 ;MG ;AREADO ;LOT RECANTO VERDE ;RUA TRES, N. 99, LT 13 QD D ;106.225,67;190.000,00;44.10;Não;Casa, 0.00 de área total, 66.08 de área privativa, 163.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425807720
 8444424148456 ;MG ;AREADO ;ROSÁRIO ; RUA JOSE BONIFACIO, N. 870, ;82.182,47;136.000,00;39.58;Não;Casa, 69.86 de área total, 69.86 de área privativa, 134.81 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424148456
 8444421391821 ;MG ;AREADO ;JARDIM PRIMAVERA ; RUA HUM, N. 129, QD D LT 5 ;117.072,73;186.000,00;37.06;Não;Casa, 60.55 de área total, 40.55 de área privativa, 132.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421391821
 1787701726933 ;MG ;BARBACENA ;IPANEMA ;AVENIDA HELENA AGUIAR DE FIGUEIREDO, N. 770, Apto 103, BL 02 VG 91 ;96.963,89;157.000,00;38.24;Não;Apartamento, 64.43 de área total, 51.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701726933
 1444416848730 ;MG ;BARBACENA ;CENTRO ;RUA PIRATININ, N. 212, Apto 702, ;908.172,88;1.425.000,00;36.27;Sim;Apartamento, 298.73 de área total, 261.36 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), 1 lavabo(s), cozinha, Terraco, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416848730
 10290987 ;MG ;BARBACENA ;SANTA TEREZA II ;RUA JOSE MALVAR MARTINS FILHO, N. 47, Apto 303, VG 303 ;318.657,15;500.000,00;36.27;Sim;Apartamento, 0.00 de área total, 117.08 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10290987
 10208103 ;MG ;BELO HORIZONTE ;CENTRO ;RUA CURITIBA, N. 786, SL 501 ;333.387,21;780.000,00;57.26;Não;Sala, 0.00 de área total, 308.55 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208103
 1444404402219 ;MG ;BELO HORIZONTE ;NOSSA SENHORA DO ROSARIO ;RUA GLYCON TERRA PINTO, N. SN, QUARTEIRÃO Nº 7 ;103.997,31;203.000,00;48.77;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 264.27 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404402219
 8555530112976 ;MG ;BELO HORIZONTE ;CONJUNTO PAULO VI ;RUA ANTONIO MARIANO DE ABREU, N. 810, Apto 204, LT 026 QUART 198 BL 07 ;84.306,67;144.000,00;41.46;Não;Apartamento, 47.94 de área total, 47.94 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530112976
 8787711627502 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA PADRE ARGEMIRO MOREIRA, N. 11300, Apto 401, BLOCO 01 ;96.000,33;162.000,00;40.75;Não;Apartamento, 52.42 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711627502
 8787714864840 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA FLOR DO CERRADO, N. 701, Apto 501, BLOCO 01 ;100.741,08;170.000,00;40.75;Não;Apartamento, 52.53 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714864840
 8787714042912 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 20, Apto 1102,  BLOCO 02 ;140.223,93;232.000,00;39.56;Não;Apartamento, 78.72 de área total, 44.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714042912
